horizon,n,MAE,RMSE,MAPE,SMAPE,MASE,source
1,57,14.894736842105264,21.857994643254933,23.205016651720822,19.91401424646112,0.4867302421835673,llm_forecasts
2,56,23.964285714285715,37.841775856849004,34.702102380555125,27.11072212825994,0.7831049795050858,llm_forecasts
3,55,33.0,52.83817490482357,41.686001695298415,31.860351152307427,1.078374070138151,llm_forecasts
