horizon,n,MAE,RMSE,MAPE,SMAPE,MASE,source
1,26,26.562692307692313,36.677617414859014,22.873105794097103,20.70496390217621,0.806794772794773,llm_forecasts
2,25,45.6784,63.247670186339676,35.40878312802033,32.59861542896705,1.3874005662805664,llm_forecasts
3,24,66.39666666666666,93.20671877606249,48.06361807984014,41.868749783141055,2.0166812526812525,llm_forecasts
