horizon,n,MAE,RMSE,MAPE,SMAPE,MASE,source
1,52,18.71923076923077,27.782640401738416,23.18679474778017,20.39874189819051,0.5685635085635086,llm_forecasts
2,51,28.388235294117646,45.93693639643589,30.98248158116163,27.002991929142155,0.8622424104777046,llm_forecasts
3,44,40.5234090909091,69.26649969173738,38.600703176109036,32.17907636749515,1.23082683982684,llm_forecasts
