horizon,n,MAE,RMSE,MAPE,SMAPE,MASE,source
1,123,39.796747967479675,65.81214197025986,22.74803248293472,21.63283927259917,1.3004782146652498,mock_rolling_origin
2,122,51.2636612021858,93.91061954145219,27.586693360916094,26.657584689490594,1.6751940297207368,mock_rolling_origin
3,121,72.5,134.017738125337,35.020630650712945,35.368165077005656,2.369155154091392,mock_rolling_origin
