index,duration
66,92.00540256500244
67,174.3355188369751
68,148.6700189113617
69,155.3515567779541
70,183.46934819221497
71,209.6373233795166
72,216.8653917312622
73,172.29358100891113
74,139.84082698822021
75,156.40150356292725
76,169.76150274276733
77,170.2055160999298
78,216.38963842391968
79,210.5779275894165
80,160.08648800849915
81,139.5535159111023
82,158.38532161712646
83,167.5987560749054
84,152.0439374446869
85,175.1378035545349
86,195.9045536518097
87,195.83552145957947
88,185.108234167099
89,178.47160363197327
90,180.37816047668457
91,168.39296579360962
92,135.31703162193298
93,132.85726189613342
94,144.56135869026184
95,162.58173203468323
96,211.17642211914062
97,228.10575199127197
98,219.45846438407898
99,224.4480037689209
100,200.58358812332153
101,153.08838057518005
102,157.18165397644043
103,188.51922178268433
104,183.22158455848694
105,177.08401083946228
106,199.39248275756836
107,208.0117907524109
108,199.5955035686493
109,193.89053320884705
110,173.21871614456177
111,146.93594336509705
112,158.73003911972046
113,215.14606022834778
114,206.39670181274414
115,183.86494731903076
116,194.12059569358826
117,216.76642084121704
118,213.69864082336426
119,195.46703505516052
120,242.1481897830963
121,242.5593318939209
122,195.25527429580688
