;2023/2024;2024/2025;2025/2026
"wk 40";257;237;158
"wk 41";270;286;188
"wk 42";251;249;161
"wk 43";378;237;132
"wk 44";397;211;111
"wk 45";431;149;84
"wk 46";395;151;83
"wk 47";317;160;75
"wk 48";432;130;95
"wk 49";632;111;103
"wk 50";681;78;106
"wk 51";676;101;97
"wk 52";573;84;82
"wk 1";368;105;83
"wk 2";273;93;66
"wk 3";229;60;54
"wk 4";213;64;50
"wk 5";163;66;46
"wk 6";148;51;40
"wk 7";118;45;52
"wk 8";99;39;31
"wk 9";72;40;
"wk 10";88;43;
"wk 11";37;27;
"wk 12";35;25;
"wk 13";47;32;
"wk 14";41;22;
"wk 15";21;32;
"wk 16";18;25;
"wk 17";28;29;
"wk 18";29;30;
"wk 19";29;21;
"wk 20";40;32;
"wk 21";30;33;
"wk 22";37;31;
"wk 23";40;34;
"wk 24";89;33;
"wk 25";137;41;
"wk 26";176;35;
"wk 27";177;25;
"wk 28";224;35;
"wk 29";236;34;
"wk 30";241;21;
"wk 31";225;34;
"wk 32";191;42;
"wk 33";128;44;
"wk 34";124;42;
"wk 35";131;49;
"wk 36";172;57;
"wk 37";113;72;
"wk 38";228;112;
"wk 39";160;149;
