;2023/2024;2024/2025;2025/2026
"wk 40";305;302;212
"wk 41";312;369;242
"wk 42";283;342;214
"wk 43";452;340;165
"wk 44";483;279;150
"wk 45";500;214;127
"wk 46";484;208;121
"wk 47";392;220;93
"wk 48";530;169;138
"wk 49";763;144;134
"wk 50";841;108;138
"wk 51";794;123;123
"wk 52";706;101;110
"wk 1";519;130;116
"wk 2";357;113;87
"wk 3";308;82;66
"wk 4";300;84;65
"wk 5";242;78;69
"wk 6";195;64;60
"wk 7";157;62;69
"wk 8";137;53;41
"wk 9";103;49;35
"wk 10";108;53;
"wk 11";62;34;
"wk 12";49;52;
"wk 13";62;50;
"wk 14";48;32;
"wk 15";32;39;
"wk 16";27;37;
"wk 17";40;32;
"wk 18";43;31;
"wk 19";44;26;
"wk 20";45;44;
"wk 21";47;40;
"wk 22";45;45;
"wk 23";60;44;
"wk 24";110;41;
"wk 25";176;54;
"wk 26";244;51;
"wk 27";225;32;
"wk 28";312;51;
"wk 29";306;66;
"wk 30";319;32;
"wk 31";300;52;
"wk 32";247;61;
"wk 33";160;74;
"wk 34";160;64;
"wk 35";179;70;
"wk 36";221;87;
"wk 37";190;105;
"wk 38";294;160;
"wk 39";229;202;
