;2023/2024;2024/2025;2025/2026
"wk 40";319;354;255
"wk 41";346;432;285
"wk 42";344;401;276
"wk 43";527;380;212
"wk 44";568;318;175
"wk 45";568;250;140
"wk 46";547;254;131
"wk 47";482;247;117
"wk 48";623;204;141
"wk 49";876;164;158
"wk 50";946;128;142
"wk 51";923;137;129
"wk 52";764;112;118
"wk 1";582;147;122
"wk 2";413;123;97
"wk 3";328;88;76
"wk 4";329;90;73
"wk 5";262;89;72
"wk 6";214;66;59
"wk 7";168;67;72
"wk 8";146;62;
"wk 9";104;54;
"wk 10";117;57;
"wk 11";66;37;
"wk 12";56;54;
"wk 13";67;55;
"wk 14";54;34;
"wk 15";35;40;
"wk 16";29;39;
"wk 17";47;38;
"wk 18";46;37;
"wk 19";42;26;
"wk 20";51;43;
"wk 21";47;42;
"wk 22";58;49;
"wk 23";56;47;
"wk 24";134;52;
"wk 25";206;56;
"wk 26";267;60;
"wk 27";265;37;
"wk 28";372;58;
"wk 29";372;62;
"wk 30";384;33;
"wk 31";348;61;
"wk 32";298;84;
"wk 33";210;78;
"wk 34";195;74;
"wk 35";213;91;
"wk 36";281;110;
"wk 37";230;125;
"wk 38";369;183;
"wk 39";303;223;
