;other;B.1.1.7;B.1.351;P.1;B.1.617.2;BA.1;BA.2;BA.2.12.1;BA.4;BA.5;BQ.1;BA.2.75;XBB;XBB.1.5;XBB.1.9;XBF;XBB.1.16;EG.5;BA.2.86;JN.1;KP.2;KP.3;XEC;NB.1.8.1;LP.8.1;XFG;BA.3.2
2025-W23;7.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.38;0;0;1.92;26.92;25;23.08;0
2025-W24;8.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.86;0;1.79;0;14.29;16.07;41.07;0
2025-W25;15.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.67;0;0;2.22;13.33;15.56;46.67;0
2025-W31;8.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.38;0;0;0;10.64;4.26;70.21;0
2025-W32;1.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.17;0;0;1.59;11.11;4.76;77.78;0
2025-W33;2.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.17;14.58;4.17;72.92;2.08
2025-W34;6.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.67;0;0;0;10;0;81.67;0
2025-W35;6.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.05;0;0;0;11.58;1.05;80;0
2025-W36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.32;3.16;90.53;0
2025-W37;1.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.25;0;0;0;6.25;2.5;87.5;1.25
2025-W38;2.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;0;0;0;7.19;1.8;86.83;0
2025-W39;5.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.67;0;0;0;8.72;2.01;83.22;0
2025-W40;6.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.57;0;0;0;6.9;1.72;83.91;0
2025-W41;2.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7;0;0.7;0;11.89;0.7;83.22;0.7
2025-W42;2.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.56;0;0;0;6.18;0;91.01;0
2025-W43;3.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.75;0;0;0.75;14.18;0.75;79.1;0.75
2025-W44;7.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.52;0;0;0;9.09;0;80.3;1.52
2025-W45;1.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.98;0;0;0;10.78;0;85.29;0.98
2025-W46;9.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.18;0;0;0;8.24;2.35;72.94;5.88
2025-W47;3.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.63;0;0;0;6.58;1.32;71.05;14.47
2025-W48;4.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.49;0;0;0;13.43;0;65.67;14.93
2025-W49;3.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.94;0;0;0;14.56;0.97;56.31;22.33
2025-W50;2.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.05;1.2;44.58;39.76
2025-W51;3.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.19;0;0;0;14.89;0;36.17;42.55
2025-W52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.9;0;0;0;17.39;0;42.03;37.68
2026-W01;6.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.84;0;0;0;16.13;1.61;25.81;45.16
2026-W02;5.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.03;0;37.84;29.73
2026-W03;7.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.69;0;46.15;38.46
