horizon,n,MAE,RMSE,MAPE,SMAPE,MASE,source
1,56,16.053571428571427,23.700135623481746,24.86173435808508,21.93150755975701,0.5226943459529528,llm_forecasts
2,55,24.581818181818182,36.3918072698188,35.98969491120831,29.110137618982744,0.8003687798723828,llm_forecasts
3,54,32.01851851851852,47.574308348254675,39.9270077544833,32.24249262136553,1.0425031383131196,llm_forecasts
