index,duration
87,57.54723882675171
88,44.12677454948425
89,56.22325849533081
90,62.257819175720215
91,54.34712195396423
92,54.43816232681274
93,54.75865721702576
94,55.122973680496216
95,51.89007186889648
96,51.49996566772461
97,55.13495850563049
98,54.80812239646912
99,53.17572999000549
100,55.31625485420227
101,56.06248450279236
102,55.783944606781006
103,53.22287130355835
104,57.06839537620544
105,54.43873000144959
106,53.30158448219299
107,52.901681423187256
108,53.02497410774231
109,52.26602649688721
110,52.64495730400085
111,56.45426654815674
112,44.206403732299805
113,51.69846749305725
114,51.80566906929016
115,52.27844405174256
116,50.46582889556885
117,41.73897957801819
118,44.61725354194641
119,46.79926013946533
120,47.28303861618042
121,51.09027028083801
122,51.60922169685364
123,42.25869536399841
